Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,8,8,654,7.3,1,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,1.4,1.4,0.5,1.9,0.20,0.07,0.26,0.20,0.26,Matches,9,3,33.3,1.24,0.41,0.11,0.33,18.5,0,0.16,-0.4,-0.4,158,217,72.8,2256,612,96,118,81.4,40,53,75.5,13,26,50.0,+0.5,10,6,4,2,10,193,24,0,39,4,8,11,3,8,0,154,30,33,26,174,7,4,3,0,2,12,11,20,2.75,10,4,2,1,2,3,0.41,1,0,0,1,0,1,13,9,3,6,4,6,30.0,14,47,32.4,25,63,57,0,12,14,1,0,323,2,24,56.5,15,5,229,2,15,30,329,224,68.1,50,82,90.8,82,2,0,,0,1.13,11,12,-1,-0.14,-0.14,9.8,9.4,+0.4,+0.06,+0.67,0,7,0,0,0,45,3,23,11.5,Big-5-European-Leagues,Big5,2022-2023
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.04,0.01,0.06,0.04,0.06,Matches,8,0,0.0,0.80,0.00,0.00,,12.7,0,0.05,-0.4,-0.4,285,353,80.7,5977,2291,82,95,86.3,161,179,89.9,38,68,55.9,-0.1,1,28,1,0,34,315,38,0,37,10,2,0,0,0,0,252,30,71,214,103,19,4,2,1,9,7,8,7,0.70,3,0,0,0,3,0,0.00,0,0,0,0,0,0,24,13,11,11,2,9,60.0,6,54,38.3,67,67,7,0,13,48,26,0,463,69,13,42.9,4,0,252,0,2,12,248,242,97.6,1,90,100.0,90,10,0,,0,0.80,12,19,-7,-0.70,,14.2,15.8,-1.6,-0.16,,0,15,0,0,0,85,20,7,74.1,Big-5-European-Leagues,Big5,2022-2023
Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,4,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.05,0.82,0.87,0.05,0.87,Matches,1,0,0.0,1.73,0.00,0.00,,20.2,0,0.03,0.0,0.0,43,47,91.5,800,189,20,23,87.0,15,15,100.0,8,9,88.9,-0.5,6,4,2,0,7,47,0,1,7,2,0,0,0,0,0,45,1,1,9,38,0,0,0,0,0,2,0,6,10.38,5,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,3,2,0,0,0,0,0,52,0,2,50.0,2,0,46,1,1,0,51,45,88.2,8,13,5.8,,0,4,13,5,0.00,1,2,-1,-1.73,-0.46,2.0,0.6,+1.5,+2.51,+2.60,0,1,0,0,0,7,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,10,10,900,10.0,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.2,0.4,0.03,0.02,0.04,0.03,0.04,Matches,6,1,16.7,0.60,0.10,0.17,1.00,22.0,0,0.04,+0.7,+0.7,554,604,91.7,9599,1830,250,269,92.9,246,259,95.0,52,66,78.8,-0.2,4,39,7,1,31,586,18,1,64,8,4,0,0,0,0,516,44,44,58,513,25,0,4,3,4,8,4,8,0.80,8,0,0,0,0,0,0.00,0,0,0,0,0,0,19,10,6,11,2,7,50.0,7,49,25.4,65,100,28,0,8,42,11,0,698,20,9,75.0,9,1,491,1,8,12,560,531,94.8,16,90,100.0,90,10,0,,0,2.10,17,8,+9,+0.90,,18.6,11.4,+7.2,+0.72,,0,27,0,0,0,79,5,9,35.7,Big-5-European-Leagues,Big5,2022-2023
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,10,10,807,9.0,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.4,0.6,0.02,0.05,0.07,0.02,0.07,Matches,4,0,0.0,0.45,0.00,0.00,,22.6,0,0.04,-0.2,-0.2,350,387,90.4,6077,1941,165,170,97.1,141,153,92.2,37,49,75.5,+0.6,6,33,2,0,25,381,6,3,73,5,1,0,0,0,0,322,35,30,25,352,7,0,0,1,4,4,5,12,1.34,9,0,1,0,1,1,0.11,1,0,0,0,0,0,32,21,25,7,0,9,28.1,23,43,28.5,88,56,7,0,10,45,16,0,483,36,1,57.1,5,0,333,1,8,8,350,335,95.7,4,81,89.7,81,7,0,,0,2.50,19,12,+7,+0.78,+0.78,13.8,15.7,-1.9,-0.21,-0.80,0,12,0,0,0,60,5,4,55.6,Big-5-European-Leagues,Big5,2022-2023
Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,7,0,87,1.0,1,0,1,0,0,0,0,1.03,0.00,1.03,1.03,1.03,0.7,0.7,0.2,0.8,0.68,0.19,0.87,0.68,0.87,Matches,6,2,33.3,6.21,2.07,0.17,0.50,10.9,0,0.11,+0.3,+0.3,6,13,46.2,86,29,5,6,83.3,1,2,50.0,0,0,,-0.2,2,0,1,1,0,13,0,0,4,0,4,0,0,0,0,10,2,1,4,8,0,0,0,0,0,0,3,6,6.21,2,0,0,0,1,1,1.03,0,0,0,0,0,1,2,1,0,0,2,1,50.0,1,8,44.4,0,8,10,0,1,4,1,0,39,1,16,0.0,1,0,18,1,10,0,40,24,60.0,11,12,9.7,,0,7,12,2,2.29,4,0,+4,+4.14,+3.36,2.0,0.9,+1.1,+1.13,+0.43,0,2,0,0,0,6,3,2,60.0,Big-5-European-Leagues,Big5,2022-2023
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,10,9,772,8.6,3,3,3,0,0,1,0,0.35,0.35,0.70,0.35,0.70,1.6,1.6,1.7,3.3,0.19,0.19,0.38,0.19,0.38,Matches,18,6,33.3,2.10,0.70,0.17,0.50,16.6,0,0.09,+1.4,+1.4,151,221,68.3,1950,509,111,130,85.4,36,58,62.1,1,8,12.5,+1.3,6,5,3,0,13,214,7,0,34,0,14,0,0,0,0,171,30,20,144,62,5,7,1,1,6,14,16,16,1.87,8,1,1,5,1,3,0.35,3,0,0,0,0,0,14,9,6,3,5,4,23.5,13,31,23.8,30,46,54,0,6,24,6,0,345,9,51,39.4,16,3,257,16,25,11,365,252,69.0,68,77,85.8,83,5,1,25,0,1.20,13,15,-2,-0.23,-0.23,9.8,12.9,-3.1,-0.36,+0.16,0,13,0,0,0,36,6,12,33.3,Big-5-European-Leagues,Big5,2022-2023
Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,9,7,638,7.1,2,1,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,4.8,4.8,1.3,6.1,0.68,0.19,0.86,0.68,0.86,Matches,27,11,40.7,3.81,1.55,0.07,0.18,11.6,0,0.18,-2.8,-2.8,94,130,72.3,1458,350,51,63,81.0,36,52,69.2,5,7,71.4,-0.3,9,10,3,0,13,117,13,2,42,1,1,0,0,0,0,73,28,29,10,76,14,1,10,1,3,4,4,27,3.81,14,0,2,3,0,4,0.56,1,0,0,2,1,0,4,2,2,1,1,0,0.0,3,12,18.2,7,19,40,0,3,7,5,0,233,5,47,25.0,7,3,114,6,21,12,313,176,56.2,52,71,78.8,80,2,2,39,0,2.11,10,6,+4,+0.56,+1.09,15.2,5.1,+10.0,+1.42,+0.64,0,9,1,0,0,21,26,14,65.0,Big-5-European-Leagues,Big5,2022-2023
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,3,3,258,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,1,0,0.0,0.35,0.00,0.00,,9.0,0,0.06,-0.1,-0.1,196,212,92.5,4175,1114,56,61,91.8,110,117,94.0,28,32,87.5,0.0,1,9,1,0,10,203,9,0,24,5,0,0,0,0,0,174,9,29,160,36,8,0,0,0,4,0,0,3,1.05,3,0,0,0,0,0,0.00,0,0,0,0,0,0,5,3,5,0,0,1,100.0,0,5,45.5,7,4,0,0,3,7,12,0,239,35,1,,0,0,160,0,1,0,179,179,100.0,0,86,31.9,86,2,0,,2,1.00,4,4,0,0.00,-0.33,3.3,2.8,+0.5,+0.17,-0.85,0,3,0,0,0,25,13,2,86.7,Big-5-European-Leagues,Big5,2022-2023
Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.09,0.07,0.16,0.09,0.16,Matches,1,0,0.0,2.50,0.00,0.00,,25.0,0,0.04,0.0,0.0,19,22,86.4,307,104,9,9,100.0,9,11,81.8,1,2,50.0,0.0,1,1,0,0,2,21,1,0,1,0,0,1,0,1,0,19,1,2,19,3,0,0,0,0,0,1,0,2,5.00,1,0,1,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,2,25.0,1,4,3,0,0,3,0,0,26,0,0,100.0,3,0,25,0,0,2,22,20,90.9,1,18,4.0,,0,2,18,5,0.50,1,0,+1,+2.50,+3.54,0.5,0.0,+0.5,+1.16,+1.87,0,2,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2022-2023
Marcos AcuÃ±a,ar ARG,DF,Sevilla,es La Liga,30,1991,6,5,405,4.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.5,1.7,0.05,0.34,0.39,0.05,0.39,Matches,6,0,0.0,1.33,0.00,0.00,,21.8,1,0.04,-0.2,-0.2,215,297,72.4,4650,2072,87,105,82.9,75,98,76.5,50,84,59.5,-1.5,13,10,7,4,21,230,67,0,17,27,21,14,5,8,0,138,60,99,207,35,12,38,0,1,9,13,9,17,3.78,9,7,0,0,0,0,0.00,0,0,0,0,0,0,14,11,8,6,0,6,60.0,4,17,28.3,30,25,5,1,4,21,8,0,339,14,5,66.7,6,1,195,0,5,1,213,198,93.0,12,68,56.3,74,2,1,35,0,1.00,6,9,-3,-0.67,+0.19,6.3,8.4,-2.1,-0.47,+0.55,0,11,0,1,0,38,9,4,69.2,Big-5-European-Leagues,Big5,2022-2023
Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,8,7,642,7.1,2,1,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,1.6,1.6,1.5,3.2,0.23,0.22,0.44,0.23,0.44,Matches,14,5,35.7,1.96,0.70,0.14,0.40,12.7,0,0.12,+0.4,+0.4,105,153,68.6,1816,318,52,80,65.0,32,39,82.1,15,18,83.3,-0.5,11,5,4,2,7,142,11,0,34,7,8,0,0,0,0,80,40,33,5,108,14,2,6,0,1,9,8,15,2.10,11,1,1,1,0,1,0.14,1,0,0,0,0,0,4,3,1,1,2,1,33.3,2,17,24.6,8,27,34,0,3,6,11,0,235,12,42,81.8,9,1,137,4,20,11,321,161,50.2,40,80,79.3,87,6,1,32,1,0.88,7,12,-5,-0.70,+1.44,7.7,9.8,-2.0,-0.28,+0.30,0,13,0,0,0,31,24,53,31.2,Big-5-European-Leagues,Big5,2022-2023
Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,8,8,720,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.6,0.00,0.07,0.07,0.00,0.07,Matches,2,0,0.0,0.25,0.00,0.00,,29.1,0,0.02,0.0,0.0,377,449,84.0,6330,1697,184,208,88.5,154,184,83.7,31,45,68.9,-0.5,9,32,4,0,38,424,25,0,44,2,1,0,0,0,0,332,42,75,64,339,34,6,0,0,5,15,6,14,1.75,13,0,1,0,0,0,0.00,0,0,0,0,0,0,31,16,13,15,3,17,70.8,7,61,36.1,50,93,26,0,18,38,8,0,542,13,2,75.0,3,0,299,0,11,5,341,315,92.4,8,90,100.0,90,8,0,,0,1.13,11,12,-1,-0.12,,10.6,10.7,0.0,0.00,,0,18,0,0,0,117,6,6,50.0,Big-5-European-Leagues,Big5,2022-2023
Sargis Adamyan,am ARM,"FW,MF",KÃ¶ln,de Bundesliga,29,1993,9,1,257,2.9,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.40,0.13,0.53,0.40,0.53,Matches,7,4,57.1,2.45,1.40,0.14,0.25,12.0,0,0.18,-0.1,-0.1,59,79,74.7,997,273,29,36,80.6,23,30,76.7,6,9,66.7,-0.4,6,2,7,2,10,71,8,0,13,1,5,0,0,0,0,50,16,13,15,51,2,5,2,1,0,6,3,12,4.20,9,0,0,1,0,1,0.35,0,0,0,1,0,0,3,1,0,2,1,1,12.5,7,26,35.1,12,33,29,0,3,3,1,0,124,1,26,28.6,2,0,85,4,5,17,126,85,67.5,22,29,31.7,55,0,8,25,0,1.44,5,5,0,0.00,-0.16,5.1,4.1,+0.9,+0.33,+0.12,0,10,0,0,0,18,4,8,33.3,Big-5-European-Leagues,Big5,2022-2023
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,9,9,810,9.0,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,2,1,50.0,0.22,0.11,0.50,1.00,10.9,0,0.05,+0.9,+0.9,342,418,81.8,7774,2294,70,85,82.4,209,229,91.3,61,98,62.2,-0.1,1,22,1,0,24,404,14,0,42,10,0,0,0,0,0,295,32,91,31,337,29,3,0,2,9,7,4,3,0.33,3,0,0,0,0,0,0.00,0,0,0,0,0,0,10,7,8,2,0,2,33.3,4,9,26.5,20,13,1,0,3,26,55,1,511,102,3,100.0,2,0,274,0,2,1,315,310,98.4,1,90,100.0,90,9,0,,0,1.22,14,18,-4,-0.44,,9.6,18.9,-9.3,-1.03,,0,6,0,0,0,76,29,7,80.6,Big-5-European-Leagues,Big5,2022-2023
Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,18,2003,4,0,93,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,1,0,0.0,0.97,0.00,0.00,,24.0,0,0.04,0.0,0.0,20,30,66.7,237,50,14,18,77.8,4,6,66.7,0,1,0.0,0.0,0,0,0,0,0,27,3,0,10,0,0,1,0,0,0,19,8,3,6,19,1,1,0,0,1,0,3,1,0.97,1,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,2,1,0,0,0.0,1,7,28.0,11,11,3,0,1,7,2,0,45,2,3,66.7,3,0,24,0,3,2,29,22,75.9,2,23,10.3,,0,4,23,6,1.00,3,5,-2,-1.94,-1.38,2.0,2.5,-0.5,-0.44,-0.31,0,4,0,0,0,8,3,2,60.0,Big-5-European-Leagues,Big5,2022-2023
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,5,3,207,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.5,2.2,0.31,0.64,0.95,0.31,0.95,Matches,6,4,66.7,2.61,1.74,0.00,0.00,14.2,0,0.12,-0.7,-0.7,63,78,80.8,967,349,38,47,80.9,17,18,94.4,6,8,75.0,-1.5,7,2,7,2,10,77,1,0,14,1,5,0,0,0,0,62,10,6,34,41,1,0,0,0,0,3,5,13,5.65,9,0,2,0,0,3,1.30,2,0,0,1,0,0,0,0,0,0,0,0,0.0,2,13,36.1,6,20,10,0,6,1,2,0,114,2,15,60.0,6,1,90,2,5,6,108,86,79.6,21,41,25.6,47,0,2,33,0,2.00,6,2,+4,+1.74,+2.19,5.9,2.2,+3.7,+1.63,+1.42,0,3,0,0,0,14,3,3,50.0,Big-5-European-Leagues,Big5,2022-2023
Amine Adli,fr FRA,"FW,DF",Leverkusen,de Bundesliga,22,2000,3,0,85,0.9,0,1,0,0,0,0,0,0.00,1.06,1.06,0.00,1.06,0.2,0.2,0.2,0.4,0.20,0.23,0.42,0.20,0.42,Matches,1,1,100.0,1.06,1.06,0.00,0.00,12.0,0,0.19,-0.2,-0.2,27,33,81.8,413,116,15,18,83.3,9,12,75.0,2,2,100.0,+0.8,1,0,2,1,3,32,1,1,9,1,2,0,0,0,0,27,4,2,27,4,0,0,1,0,0,1,0,2,2.12,1,0,0,0,1,1,1.06,1,0,0,0,0,0,1,1,0,1,0,0,0.0,2,9,42.9,8,8,5,0,1,2,0,0,49,0,3,40.0,2,0,40,0,3,3,40,34,85.0,7,28,10.5,,0,3,28,0,1.00,1,2,-1,-1.06,-0.81,2.1,1.4,+0.7,+0.74,+0.64,0,1,0,0,0,11,1,2,33.3,Big-5-European-Leagues,Big5,2022-2023
Yacine Adli,fr FRA,MF,Milan,it Serie A,22,2000,3,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.24,0.09,0.33,0.24,0.33,Matches,2,2,100.0,3.16,3.16,0.00,0.00,17.6,0,0.08,-0.2,-0.2,23,37,62.2,558,231,8,10,80.0,7,11,63.6,8,12,66.7,-0.1,1,6,0,0,5,35,2,1,2,3,2,1,0,1,0,21,9,7,2,34,0,1,0,0,0,3,5,2,3.16,1,1,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,1,50.0,1,6,24.0,4,12,9,0,1,2,0,0,43,1,1,,0,0,27,0,0,1,42,35,83.3,7,19,7.0,,0,3,19,6,1.33,0,0,0,0.00,-1.08,1.0,0.1,+0.9,+1.38,+0.48,0,1,0,0,0,3,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,25,1997,8,2,273,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.12,0.03,0.14,0.12,0.14,Matches,6,1,16.7,1.98,0.33,0.00,0.00,19.2,1,0.06,-0.4,-0.4,86,101,85.1,1346,376,45,48,93.8,33,39,84.6,6,9,66.7,-0.1,2,5,0,0,5,98,3,0,29,4,3,1,0,1,0,80,11,10,17,81,2,1,0,1,1,1,3,7,2.31,4,1,1,0,0,1,0.33,0,0,0,1,0,0,4,4,2,0,2,0,0.0,2,18,29.0,21,29,12,0,3,6,5,0,131,6,5,100.0,2,0,91,0,3,2,111,93,83.8,4,34,33.7,90,2,6,16,1,0.75,3,5,-2,-0.66,+0.01,3.0,3.8,-0.8,-0.27,-0.03,0,4,0,0,0,16,3,7,30.0,Big-5-European-Leagues,Big5,2022-2023
Felix Afena-Gyan,gh GHA,"MF,FW",Cremonese,it Serie A,19,2003,3,1,101,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,17,17,100.0,259,55,11,11,100.0,5,5,100.0,1,1,100.0,-0.1,1,1,0,0,2,17,0,0,6,0,0,0,0,0,0,13,4,0,1,15,0,0,0,0,0,0,0,1,0.89,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,0,,0,7,24.1,6,18,5,0,0,3,0,0,30,2,3,0.0,0,0,21,0,1,4,34,17,50.0,4,34,12.5,61,0,2,20,2,0.67,2,2,0,0.00,+1.52,1.0,2.4,-1.5,-1.31,+0.03,0,3,0,0,0,7,1,10,9.1,Big-5-European-Leagues,Big5,2022-2023
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,9,8,700,7.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.8,0.05,0.06,0.11,0.05,0.11,Matches,6,2,33.3,0.77,0.26,0.00,0.00,16.6,0,0.07,-0.4,-0.4,276,325,84.9,6201,2308,90,97,92.8,128,141,90.8,57,83,68.7,-0.5,3,16,4,0,18,299,26,2,25,11,0,0,0,0,0,245,25,55,34,271,11,2,0,0,5,2,4,7,0.90,5,1,0,0,0,0,0.00,0,0,0,0,0,0,20,10,13,6,1,10,66.7,5,31,37.8,45,35,2,0,9,38,31,2,418,79,5,75.0,4,0,235,1,5,2,227,220,96.9,2,78,77.8,85,7,1,24,0,0.78,10,14,-4,-0.51,+0.84,11.2,13.0,-1.8,-0.23,-0.34,0,12,0,0,0,78,12,11,52.2,Big-5-European-Leagues,Big5,2022-2023
Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,3,2,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.40,0.40,0.00,0.40,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,49,59,83.1,873,161,22,24,91.7,22,26,84.6,5,7,71.4,-0.5,2,3,2,1,4,56,3,0,6,1,2,0,0,0,0,46,4,9,16,39,1,1,0,0,0,1,1,2,1.70,2,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,2,0,1,50.0,1,4,22.2,7,7,4,0,4,5,2,0,70,3,0,50.0,1,0,49,0,0,0,52,49,94.2,1,,,,0,0,,3,,,,,,,,,,,,0,5,0,0,0,8,3,0,100.0,Big-5-European-Leagues,Big5,2022-2023
Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,3,2,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.40,0.40,0.00,0.40,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,49,59,83.1,873,161,22,24,91.7,22,26,84.6,5,7,71.4,-0.5,2,3,2,1,4,56,3,0,6,1,2,0,0,0,0,46,4,9,16,39,1,1,0,0,0,1,1,2,1.70,2,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,2,0,1,50.0,1,4,22.2,7,7,4,0,4,5,2,0,70,3,0,50.0,1,0,49,0,0,0,52,49,94.2,1,35,11.8,49,0,1,9,1,1.33,2,2,0,0.00,+0.34,1.5,1.0,+0.5,+0.42,+0.60,0,5,0,0,0,8,3,0,100.0,Big-5-European-Leagues,Big5,2022-2023
Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,23,1999,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,7,8,87.5,189,107,2,2,100.0,2,2,100.0,3,4,75.0,0.0,0,1,0,0,1,6,2,0,0,1,0,0,0,0,0,3,2,3,0,6,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,14.3,1,6,0,0,1,0,0,0,14,0,0,,0,0,9,0,1,2,5,4,80.0,1,15,1.9,,0,1,15,8,1.00,0,1,-1,-6.00,-6.79,0.2,0.1,+0.1,+0.30,+0.21,0,1,0,0,0,6,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Ãlvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,7,6,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.07,0.08,0.01,0.08,Matches,2,0,0.0,0.40,0.00,0.00,,26.8,0,0.02,0.0,0.0,216,254,85.0,4567,1010,78,88,88.6,89,102,87.3,47,56,83.9,-0.4,9,23,2,1,22,244,10,1,21,19,4,3,0,2,1,175,26,53,23,216,12,0,2,0,4,4,5,20,4.00,20,0,0,0,0,3,0.60,3,0,0,0,0,0,5,4,1,4,0,1,50.0,1,14,45.2,8,20,3,0,5,10,4,0,286,8,4,50.0,2,0,203,1,2,3,217,204,94.0,9,64,62.5,73,3,1,15,1,1.14,4,9,-5,-1.00,-0.33,4.3,9.0,-4.7,-0.95,-0.96,0,2,0,1,0,47,1,3,25.0,Big-5-European-Leagues,Big5,2022-2023
Player,Nation,Pos,Squad,Comp,Ag,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Past,Succ,%,Def 3rd,Mid 3rd,Att 3rd,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Big-5-European-Leagues,Big5,2022-2023
Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,9,5,497,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.04,0.03,0.08,0.04,0.08,Matches,5,0,0.0,0.91,0.00,0.00,,22.6,0,0.05,-0.2,-0.2,128,166,77.1,2071,565,65,79,82.3,42,54,77.8,11,18,61.1,-0.2,2,13,4,0,19,160,6,0,38,4,4,2,0,2,0,123,17,26,135,20,6,0,1,3,2,4,5,6,1.09,3,1,0,1,0,0,0.00,0,0,0,0,0,0,17,6,8,6,3,6,31.6,13,33,24.1,39,69,29,0,12,22,1,0,242,6,8,90.9,11,1,176,3,12,17,194,157,80.9,20,55,61.4,76,0,4,29,0,0.89,4,8,-4,-0.72,+1.00,4.1,9.5,-5.4,-0.98,+0.16,0,13,0,0,0,37,5,5,50.0,Big-5-European-Leagues,Big5,2022-2023
