Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Marcel Sabitzer,at AUT,MF,Bayern Munich,de Bundesliga,28,1994,8,7,494,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.07,0.03,0.10,0.07,0.10,Matches,10,2,20.0,1.82,0.36,0.00,0.00,22.4,0,0.04,-0.4,-0.4,357,398,89.7,6061,1462,172,188,91.5,145,153,94.8,30,42,71.4,-0.1,3,34,5,0,34,392,6,0,50,7,1,1,1,0,0,312,50,36,46,324,18,0,0,2,2,3,6,4,0.73,4,0,0,0,0,0,0.00,0,0,0,0,0,0,17,13,6,4,7,8,50.0,8,34,45.3,21,33,21,0,2,24,8,0,445,10,11,50.0,2,1,290,1,3,5,323,312,96.6,14,62,61.0,67,2,1,22,1,1.88,17,2,+15,+2.73,+2.16,14.0,4.4,+9.6,+1.74,+1.09,0,8,0,0,0,88,12,11,52.2,Big-5-European-Leagues,Big5,2022-2023
Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,27,1995,9,7,611,6.8,0,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.2,0.2,0.5,0.7,0.03,0.07,0.10,0.03,0.10,Matches,3,0,0.0,0.44,0.00,0.00,,12.9,0,0.08,-0.2,-0.2,257,303,84.8,4631,1547,105,112,93.8,128,142,90.1,21,42,50.0,+1.5,8,10,4,1,20,259,44,0,25,5,6,0,0,0,0,215,40,48,6,244,10,38,0,0,1,7,4,14,2.06,10,1,1,0,2,2,0.29,2,0,0,0,0,0,11,6,7,2,2,7,58.3,5,28,38.9,30,32,10,0,11,33,15,1,369,45,7,75.0,6,0,219,1,2,3,221,213,96.4,11,68,67.9,82,4,2,19,1,1.00,17,14,+3,+0.44,+1.38,7.8,11.2,-3.4,-0.50,-0.63,0,5,0,1,1,43,6,5,54.5,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,25,1997,2,1,82,0.9,1,0,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,0.5,0.5,0.0,0.5,0.58,0.00,0.58,0.58,0.58,Matches,1,1,100.0,1.10,1.10,1.00,1.00,1.0,0,0.53,+0.5,+0.5,13,13,100.0,171,31,11,11,100.0,1,1,100.0,1,1,100.0,0.0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,9,3,1,3,9,1,0,0,0,0,0,0,1,1.10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,3,20.0,1,4,10,0,2,1,0,0,28,0,5,66.7,2,0,21,0,5,2,38,22,57.9,8,41,11.4,37,0,1,45,0,0.50,1,0,+1,+1.10,+0.96,0.7,1.5,-0.8,-0.88,-1.54,0,4,0,0,0,2,1,3,25.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,25,1997,2,1,82,0.9,1,0,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,0.5,0.5,0.0,0.5,0.58,0.00,0.58,0.58,0.58,Matches,1,1,100.0,1.10,1.10,1.00,1.00,1.0,0,0.53,+0.5,+0.5,13,13,100.0,171,31,11,11,100.0,1,1,100.0,1,1,100.0,0.0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,9,3,1,3,9,1,0,0,0,0,0,0,1,1.10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,3,20.0,1,4,10,0,2,1,0,0,28,0,5,66.7,2,0,21,0,5,2,38,22,57.9,8,41,11.4,37,0,1,45,0,0.50,1,0,+1,+1.10,+0.96,0.7,1.5,-0.8,-0.88,-1.54,0,13,0,0,0,13,4,6,40.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,25,1997,2,1,82,0.9,1,0,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,0.5,0.5,0.0,0.5,0.58,0.00,0.58,0.58,0.58,Matches,1,1,100.0,1.10,1.10,1.00,1.00,1.0,0,0.53,+0.5,+0.5,13,13,100.0,171,31,11,11,100.0,1,1,100.0,1,1,100.0,0.0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,9,3,1,3,9,1,0,0,0,0,0,0,1,1.10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,3,20.0,1,4,10,0,2,1,0,0,28,0,5,66.7,2,0,21,0,5,2,38,22,57.9,8,80,33.3,80,1,0,,0,1.33,4,3,+1,+0.37,+1.50,3.2,4.5,-1.3,-0.50,+0.09,0,4,0,0,0,2,1,3,25.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,25,1997,2,1,82,0.9,1,0,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,0.5,0.5,0.0,0.5,0.58,0.00,0.58,0.58,0.58,Matches,1,1,100.0,1.10,1.10,1.00,1.00,1.0,0,0.53,+0.5,+0.5,13,13,100.0,171,31,11,11,100.0,1,1,100.0,1,1,100.0,0.0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,9,3,1,3,9,1,0,0,0,0,0,0,1,1.10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,3,20.0,1,4,10,0,2,1,0,0,28,0,5,66.7,2,0,21,0,5,2,38,22,57.9,8,80,33.3,80,1,0,,0,1.33,4,3,+1,+0.37,+1.50,3.2,4.5,-1.3,-0.50,+0.09,0,13,0,0,0,13,4,6,40.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,AlmerÃ­a,es La Liga,25,1997,3,3,240,2.7,2,0,2,0,0,1,0,0.75,0.00,0.75,0.75,0.75,1.4,1.4,0.3,1.7,0.53,0.12,0.64,0.53,0.64,Matches,7,3,42.9,2.62,1.13,0.29,0.67,12.8,0,0.20,+0.6,+0.6,22,39,56.4,269,26,15,23,65.2,6,10,60.0,1,2,50.0,-0.3,3,0,1,0,1,36,3,0,10,0,1,0,0,0,0,27,11,1,2,34,0,1,1,1,0,4,5,5,1.87,3,0,1,1,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,7,14.6,5,23,20,0,2,1,4,0,84,4,17,16.7,1,0,60,4,12,9,114,58,50.9,13,41,11.4,37,0,1,45,0,0.50,1,0,+1,+1.10,+0.96,0.7,1.5,-0.8,-0.88,-1.54,0,4,0,0,0,2,1,3,25.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,AlmerÃ­a,es La Liga,25,1997,3,3,240,2.7,2,0,2,0,0,1,0,0.75,0.00,0.75,0.75,0.75,1.4,1.4,0.3,1.7,0.53,0.12,0.64,0.53,0.64,Matches,7,3,42.9,2.62,1.13,0.29,0.67,12.8,0,0.20,+0.6,+0.6,22,39,56.4,269,26,15,23,65.2,6,10,60.0,1,2,50.0,-0.3,3,0,1,0,1,36,3,0,10,0,1,0,0,0,0,27,11,1,2,34,0,1,1,1,0,4,5,5,1.87,3,0,1,1,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,7,14.6,5,23,20,0,2,1,4,0,84,4,17,16.7,1,0,60,4,12,9,114,58,50.9,13,41,11.4,37,0,1,45,0,0.50,1,0,+1,+1.10,+0.96,0.7,1.5,-0.8,-0.88,-1.54,0,13,0,0,0,13,4,6,40.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,AlmerÃ­a,es La Liga,25,1997,3,3,240,2.7,2,0,2,0,0,1,0,0.75,0.00,0.75,0.75,0.75,1.4,1.4,0.3,1.7,0.53,0.12,0.64,0.53,0.64,Matches,7,3,42.9,2.62,1.13,0.29,0.67,12.8,0,0.20,+0.6,+0.6,22,39,56.4,269,26,15,23,65.2,6,10,60.0,1,2,50.0,-0.3,3,0,1,0,1,36,3,0,10,0,1,0,0,0,0,27,11,1,2,34,0,1,1,1,0,4,5,5,1.87,3,0,1,1,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,7,14.6,5,23,20,0,2,1,4,0,84,4,17,16.7,1,0,60,4,12,9,114,58,50.9,13,80,33.3,80,1,0,,0,1.33,4,3,+1,+0.37,+1.50,3.2,4.5,-1.3,-0.50,+0.09,0,4,0,0,0,2,1,3,25.0,Big-5-European-Leagues,Big5,2022-2023
Umar Sadiq,ng NGA,FW,AlmerÃ­a,es La Liga,25,1997,3,3,240,2.7,2,0,2,0,0,1,0,0.75,0.00,0.75,0.75,0.75,1.4,1.4,0.3,1.7,0.53,0.12,0.64,0.53,0.64,Matches,7,3,42.9,2.62,1.13,0.29,0.67,12.8,0,0.20,+0.6,+0.6,22,39,56.4,269,26,15,23,65.2,6,10,60.0,1,2,50.0,-0.3,3,0,1,0,1,36,3,0,10,0,1,0,0,0,0,27,11,1,2,34,0,1,1,1,0,4,5,5,1.87,3,0,1,1,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,7,14.6,5,23,20,0,2,1,4,0,84,4,17,16.7,1,0,60,4,12,9,114,58,50.9,13,80,33.3,80,1,0,,0,1.33,4,3,+1,+0.37,+1.50,3.2,4.5,-1.3,-0.50,+0.09,0,13,0,0,0,13,4,6,40.0,Big-5-European-Leagues,Big5,2022-2023
