Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Ansgar Knauff,de GER,"FW,MF",Dortmund,19,2002,5,0,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.11,0.18,0.07,0.18,Matches,1,0,0.0,0.79,0.00,0.00,,17.0,0,0.09,-0.1,-0.1,23,37,62.2,302,80,14,17,82.4,5,11,45.5,2,4,50.0,-0.1,1,1,1,0,2,37,0,0,10,0,1,0,0,0,0,22,7,8,6,26,3,0,1,0,2,1,2,4,3.16,4,0,0,0,0,0,0.00,0,0,0,0,0,0,5,2,1,3,1,0,0.0,2,10,31.3,13,9,10,0,3,5,2,0,65,2,6,36.4,5,0,40,2,4,1,60,43,71.7,10,23,3.7,,0,5,23,10,1.80,2,1,+1,+0.79,-0.19,2.2,2.4,-0.2,-0.15,-0.75,0,3,0,0,0,8,1,3,25.0,Bundesliga,20,2021-2022
Ansgar Knauff,de GER,DF,Eint Frankfurt,19,2002,12,8,759,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.5,0.5,1.0,1.6,0.06,0.12,0.19,0.06,0.19,Matches,12,4,33.3,1.42,0.47,0.08,0.25,19.5,0,0.04,+0.5,+0.5,221,347,63.7,3612,1432,102,149,68.5,99,143,69.2,13,32,40.6,0.0,9,20,8,4,27,276,71,1,48,4,17,1,0,0,0,180,75,92,35,220,14,70,1,4,9,22,19,22,2.61,15,1,1,4,0,3,0.36,2,0,0,0,1,0,19,9,9,5,5,8,53.3,7,44,28.4,50,58,47,0,8,30,7,0,449,13,32,57.1,18,1,265,6,11,11,296,253,85.5,27,63,24.8,82,3,4,26,2,1.08,11,10,+1,+0.12,+0.31,10.5,9.5,+1.0,+0.11,+0.44,0,15,0,0,0,70,9,23,28.1,Bundesliga,20,2021-2022
Robin Knoche,de GER,DF,Union Berlin,29,1992,33,33,2970,33.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.01,0.01,0.02,0.01,0.02,Matches,10,4,40.0,0.30,0.12,0.00,0.00,11.1,0,0.04,-0.4,-0.4,1364,1683,81.0,33477,11451,245,293,83.6,724,805,89.9,376,554,67.9,-0.2,4,78,3,1,87,1635,48,0,178,40,1,0,0,0,0,1147,138,398,276,1237,113,8,1,5,48,33,15,16,0.48,15,0,0,1,0,1,0.03,1,0,0,0,0,0,45,26,35,10,0,19,46.3,22,126,37.7,200,118,16,0,34,126,166,4,2050,259,20,76.9,11,0,1198,0,8,9,1203,1182,98.3,3,90,97.1,90,33,0,,0,1.73,50,43,+7,+0.21,+1.21,49.5,40.5,+9.0,+0.27,+0.43,0,27,0,0,0,412,93,80,53.8,Bundesliga,20,2021-2022
Gregor Kobel,ch SUI,GK,Dortmund,23,1997,29,29,2565,28.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,833,1020,81.7,20647,10759,210,210,100.0,411,413,99.5,208,393,52.9,0.0,0,7,0,0,0,785,235,0,67,10,0,0,0,0,0,725,29,266,148,712,0,0,135,3,19,6,1,2,0.07,1,1,0,0,0,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,2,0,0,0,0,0,4,1,1106,964,0,100.0,1,0,614,0,2,0,568,566,99.6,0,88,83.8,88,28,0,,0,2.17,73,39,+34,+1.19,+1.37,52.2,34.3,+17.9,+0.63,+0.32,0,1,0,1,0,154,0,0,,Bundesliga,20,2021-2022
Dominik Kohr,de GER,MF,Mainz 05,27,1994,22,19,1614,17.9,0,3,0,0,0,10,2,0.00,0.17,0.17,0.00,0.17,1.2,1.2,1.6,2.8,0.07,0.09,0.16,0.07,0.16,Matches,18,2,11.1,1.00,0.11,0.00,0.00,20.5,0,0.07,-1.2,-1.2,647,852,75.9,11344,3501,298,366,81.4,274,351,78.1,60,102,58.8,+1.4,8,69,10,0,84,824,28,4,140,10,2,0,0,0,0,553,139,160,122,636,62,0,4,3,17,35,17,33,1.84,23,0,2,1,4,9,0.50,6,0,0,1,1,1,43,27,19,21,3,14,31.1,31,115,31.3,102,212,53,0,28,79,25,0,1032,42,21,75.0,9,0,522,1,12,10,669,607,90.7,30,73,52.7,79,6,3,38,0,1.50,30,21,+9,+0.50,+0.75,31.0,21.4,+9.5,+0.53,+0.81,2,49,0,0,0,229,35,25,58.3,Bundesliga,20,2021-2022
Kouadio KonÃ©,fr FRA,MF,M'Gladbach,20,2001,27,26,2183,24.3,2,0,2,0,0,10,0,0.08,0.00,0.08,0.08,0.08,1.6,1.6,0.7,2.3,0.07,0.03,0.09,0.07,0.09,Matches,29,10,34.5,1.20,0.41,0.07,0.20,21.8,1,0.06,+0.4,+0.4,1047,1190,88.0,17660,5743,507,551,92.0,433,477,90.8,85,118,72.0,-0.7,11,86,11,2,110,1153,37,1,272,20,2,0,0,0,0,993,93,104,88,1036,39,1,6,0,11,30,20,39,1.61,31,0,3,3,2,2,0.08,1,0,0,0,1,0,68,45,28,36,4,20,47.6,22,191,38.2,162,284,54,0,29,135,21,0,1575,46,29,68.1,47,1,1146,9,45,67,1156,1068,92.4,39,81,71.3,83,12,1,30,1,1.44,43,40,+3,+0.12,+1.15,39.7,36.1,+3.6,+0.15,+0.21,0,41,1,0,0,244,30,24,55.6,Bundesliga,20,2021-2022
Odilon Kossonou,ci CIV,DF,Leverkusen,20,2001,27,20,1793,19.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.7,0.8,0.01,0.03,0.04,0.01,0.04,Matches,4,1,25.0,0.20,0.05,0.00,0.00,13.6,0,0.03,-0.1,-0.1,978,1160,84.3,20905,7017,302,329,91.8,485,534,90.8,184,267,68.9,+0.3,4,46,4,1,43,1057,103,2,136,32,5,0,0,0,0,830,174,156,160,856,40,84,1,3,26,15,19,9,0.45,9,0,0,0,0,1,0.05,1,0,0,0,0,0,33,22,20,11,2,14,58.3,10,83,35.6,122,92,19,0,37,75,63,0,1362,150,9,59.1,14,1,872,0,9,14,886,869,98.1,2,66,58.6,86,16,7,12,2,2.00,43,24,+19,+0.95,-0.04,33.6,27.1,+6.5,+0.33,-0.64,0,19,0,1,0,170,34,30,53.1,Bundesliga,20,2021-2022
Filip KostiÄ,rs SRB,"DF,FW",Eint Frankfurt,28,1992,31,28,2522,28.0,4,9,4,0,0,2,0,0.14,0.32,0.46,0.14,0.46,2.8,2.8,9.8,12.7,0.10,0.35,0.45,0.10,0.45,Matches,52,18,34.6,1.86,0.64,0.08,0.22,23.0,10,0.05,+1.2,+1.2,1038,1618,64.2,22600,9276,347,443,78.3,478,653,73.2,203,432,47.0,-0.8,89,84,64,44,126,1210,408,3,187,103,191,116,44,63,4,756,358,504,1251,111,24,219,2,4,39,71,93,130,4.64,68,50,1,2,1,12,0.43,7,4,0,1,0,0,43,29,25,9,9,15,27.8,39,123,30.8,138,141,121,0,32,74,17,0,1930,47,90,42.7,38,2,1166,36,53,45,1340,1142,85.2,142,81,82.4,86,23,3,35,0,1.19,40,42,-2,-0.07,+0.26,36.5,44.0,-7.5,-0.27,-0.30,0,18,0,0,0,227,17,13,56.7,Bundesliga,20,2021-2022
Andrej KramariÄ,hr CRO,"FW,MF",Hoffenheim,30,1991,32,30,2707,30.1,6,9,6,0,0,2,0,0.20,0.30,0.50,0.20,0.50,11.5,11.5,6.3,17.9,0.38,0.21,0.59,0.38,0.59,Matches,93,35,37.6,3.09,1.16,0.06,0.17,15.3,6,0.13,-5.5,-5.5,819,1057,77.5,13079,2951,440,527,83.5,290,364,79.7,57,102,55.9,+2.7,38,57,41,10,79,971,86,7,199,23,53,12,2,3,1,748,162,147,151,820,42,26,8,6,17,56,31,84,2.79,61,6,3,5,1,11,0.37,11,0,0,0,0,0,14,10,1,6,7,3,33.3,6,74,23.0,25,136,161,0,14,29,6,0,1360,14,168,52.2,25,1,954,30,57,52,1388,1044,75.2,261,85,88.5,89,25,2,26,0,1.25,46,56,-10,-0.33,-2.37,46.7,48.2,-1.6,-0.05,-1.09,0,10,0,0,0,152,20,33,37.7,Bundesliga,20,2021-2022
Christoph Kramer,de GER,MF,M'Gladbach,30,1991,18,7,748,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches,3,1,33.3,0.36,0.12,0.00,0.00,14.4,0,0.06,-0.2,-0.2,370,467,79.2,6001,1768,188,218,86.2,146,180,81.1,30,47,63.8,-0.2,4,25,5,1,35,444,23,0,76,4,5,0,0,0,0,323,72,72,64,367,23,4,2,1,12,16,17,10,1.20,8,0,0,1,1,0,0.00,0,0,0,0,0,0,33,19,17,11,5,13,40.6,19,80,33.3,91,113,36,0,13,47,20,1,571,33,6,53.8,9,0,312,2,6,6,361,341,94.5,8,42,24.4,78,4,11,19,6,1.56,9,17,-8,-0.96,-1.00,13.9,18.1,-4.2,-0.50,-0.78,0,19,0,0,0,107,12,15,44.4,Bundesliga,20,2021-2022
