Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Dickson Abiama,ng NGA,FW,Greuther FÃ¼rth,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,Matches,18,4,22.2,2.23,0.50,0.00,0.00,15.6,0,0.12,-2.2,-2.2,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,-0.1,8,7,6,0,13,130,9,1,42,2,2,0,0,0,0,87,32,20,27,76,19,0,3,2,5,5,9,20,2.48,12,0,0,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,18.2,9,39,20.5,21,81,88,0,7,22,7,0,267,9,31,33.3,7,1,154,7,41,11,335,171,51.0,48,30,23.7,79,2,19,17,8,0.46,8,29,-21,-2.60,-1.33,7.1,16.6,-9.5,-1.17,-0.40,0,18,0,0,0,39,22,40,35.5,Bundesliga,20,2021-2022
Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.5,0.5,0.3,0.8,0.19,0.10,0.29,0.19,0.29,Matches,11,2,18.2,3.82,0.69,0.00,0.00,15.8,0,0.05,-0.5,-0.5,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,+0.7,2,3,2,2,3,69,2,0,26,1,6,0,0,0,0,35,18,18,12,35,5,2,1,1,2,4,5,5,1.74,3,0,1,0,0,1,0.35,0,0,0,1,0,0,2,2,0,1,1,2,66.7,1,20,29.0,5,29,35,0,3,2,1,0,130,1,18,50.0,5,0,78,5,16,8,166,101,60.8,31,20,8.5,72,0,12,16,6,1.23,4,4,0,0.00,+0.13,4.3,5.5,-1.2,-0.41,-0.21,0,6,0,0,0,15,20,11,64.5,Bundesliga,20,2021-2022
Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,Matches,2,0,0.0,0.13,0.00,0.00,,19.4,0,0.08,-0.2,-0.2,792,914,86.7,13102,3265,397,435,91.3,299,333,89.8,73,101,72.3,+0.2,8,74,10,0,62,874,40,1,151,6,3,0,0,0,0,717,86,111,130,702,43,14,4,4,9,24,22,25,1.67,23,0,1,0,0,4,0.27,4,0,0,0,0,0,26,16,6,17,3,8,28.6,20,104,32.0,89,198,38,0,31,49,20,1,1064,29,12,58.8,10,0,720,3,10,17,802,741,92.4,18,56,44.2,84,8,12,29,6,1.88,27,14,+13,+0.87,-0.29,28.2,19.3,+8.9,+0.59,-0.08,0,20,0,0,0,159,23,12,65.7,Bundesliga,20,2021-2022
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches,3,2,66.7,0.82,0.54,0.33,0.50,16.7,0,0.17,+0.5,+0.5,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,-0.7,4,5,4,2,9,93,5,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,0,3,5,7,11,2.99,8,0,2,0,1,1,0.27,1,0,0,0,0,0,13,8,8,4,1,5,38.5,8,27,33.3,17,41,23,0,5,16,2,0,153,4,12,66.7,6,1,104,0,12,13,152,96,63.2,24,25,10.8,76,0,11,16,3,1.85,7,6,+1,+0.27,+0.37,7.3,5.1,+2.2,+0.61,+0.60,0,6,0,0,0,26,5,13,27.8,Bundesliga,20,2021-2022
Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,25,13,1256,14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,Matches,38,19,50.0,2.72,1.36,0.08,0.16,15.3,0,0.12,-1.5,-1.5,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,+0.2,13,30,16,8,40,501,19,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,5,7,39,20,47,3.37,31,1,3,4,4,7,0.50,5,0,0,1,1,0,38,25,14,18,6,17,58.6,12,93,31.0,63,123,114,0,31,55,8,0,764,10,67,53.3,27,1,562,19,43,33,733,546,74.5,92,50,41.0,75,3,12,23,0,1.76,24,22,+2,+0.14,-1.40,23.6,19.0,+4.6,+0.33,-0.45,0,27,0,0,0,92,19,35,35.2,Bundesliga,20,2021-2022
Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0.0,0,0,0,0,1,33,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,6,35.3,4,10,3,0,2,0,2,0,39,0,0,,0,0,34,0,0,1,35,32,91.4,1,20,2.0,,0,3,20,9,0.00,1,1,0,0.00,+0.54,1.1,0.7,+0.4,+0.55,+0.75,0,2,0,0,0,3,1,3,25.0,Bundesliga,20,2021-2022
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.1,2.0,0.07,0.00,0.08,0.07,0.08,Matches,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0.13,-0.8,-0.8,1801,1986,90.7,40191,13222,489,529,92.4,951,992,95.9,356,447,79.6,-0.1,2,130,3,0,121,1922,64,0,199,69,2,0,0,0,0,1633,121,232,393,1489,64,6,1,3,22,26,15,11,0.44,8,1,1,0,0,0,0.00,0,0,0,0,0,0,50,36,29,16,5,22,61.1,14,113,45.9,140,92,14,0,20,97,73,0,2198,256,22,100.0,7,0,1526,0,5,4,1686,1665,98.8,6,87,73.9,89,23,1,45,0,2.00,64,44,+20,+0.80,-0.67,47.0,35.2,+11.8,+0.47,-0.40,0,23,0,0,1,240,64,39,62.1,Bundesliga,20,2021-2022
Kevin Akpoguma,ng NGA,DF,Hoffenheim,26,1995,26,19,1527,17.0,2,2,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches,12,4,33.3,0.71,0.24,0.17,0.50,12.7,0,0.10,+0.8,+0.8,721,930,77.5,13623,5475,297,348,85.3,331,395,83.8,85,152,55.9,-0.1,12,55,13,2,79,752,178,2,124,19,29,0,0,0,0,562,204,164,88,639,27,161,1,3,23,36,36,27,1.59,18,1,3,1,1,4,0.24,2,0,0,1,0,1,37,20,17,12,8,18,56.3,14,75,29.5,100,102,52,0,54,72,32,2,1143,63,35,51.4,19,2,643,13,18,14,706,635,89.9,20,59,49.9,71,5,7,24,4,1.50,34,30,+4,+0.24,+0.59,26.8,24.9,+1.9,+0.11,+0.07,0,30,0,1,0,144,23,22,51.1,Bundesliga,20,2021-2022
Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,0,1,2,0,0.82,0.00,0.82,0.82,0.82,6.5,5.8,1.1,6.9,0.90,0.16,1.05,0.79,0.95,Matches,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0,0.25,-0.5,+0.2,106,155,68.4,1417,230,66,92,71.7,33,43,76.7,2,7,28.6,-1.1,7,1,2,0,7,147,8,1,47,1,3,0,0,0,0,96,33,26,12,108,14,2,2,0,3,8,4,25,3.44,16,0,5,3,0,4,0.55,3,0,1,0,0,0,5,4,0,4,1,2,66.7,1,30,29.4,6,40,56,0,7,8,6,0,252,7,54,84.6,11,2,164,4,24,16,303,196,64.7,55,24,21.4,79,3,22,12,2,1.74,17,9,+8,+1.10,+0.16,17.0,8.1,+8.9,+1.22,+0.80,0,8,1,0,0,25,20,35,36.4,Bundesliga,20,2021-2022
Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,Matches,8,2,25.0,1.95,0.49,0.13,0.50,20.1,1,0.06,+0.5,+0.5,184,223,82.5,3349,583,81,93,87.1,77,87,88.5,21,32,65.6,-0.2,3,9,9,0,18,214,9,0,45,14,3,5,1,4,0,178,19,26,19,200,2,2,0,1,3,5,2,7,1.71,5,1,0,1,0,1,0.24,0,0,0,0,1,0,8,4,4,2,2,4,57.1,3,23,40.4,14,30,13,0,4,13,2,0,280,1,9,50.0,7,1,207,1,6,8,245,211,86.1,24,28,12.1,80,1,10,13,5,2.00,6,6,0,0.00,-1.10,7.3,5.8,+1.5,+0.37,-0.25,0,1,0,0,0,37,1,4,20.0,Bundesliga,20,2021-2022
Sebastian Andersson,se SWE,FW,KÃ¶ln,30,1991,26,13,1257,14.0,3,1,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,4.7,4.7,1.3,6.0,0.34,0.09,0.43,0.34,0.43,Matches,35,13,37.1,2.51,0.93,0.09,0.23,11.3,0,0.13,-1.7,-1.7,168,253,66.4,2038,384,108,147,73.5,36,64,56.3,3,7,42.9,-0.3,10,3,5,1,9,242,11,0,109,1,15,0,0,0,0,119,78,56,33,130,25,1,28,0,4,11,14,22,1.58,18,0,0,2,1,4,0.29,3,0,0,0,1,0,13,9,1,4,8,7,63.6,4,59,30.7,2,76,114,0,7,16,9,0,428,9,81,40.0,7,1,241,3,52,26,636,325,51.1,95,48,41.1,77,3,13,20,1,1.38,15,17,-2,-0.14,-0.39,19.1,19.9,-0.7,-0.05,-0.04,0,27,0,0,0,43,52,84,38.2,Bundesliga,20,2021-2022
AndrÃ©s Andrade CedeÃ±o,pa PAN,DF,Arminia,22,1998,17,12,1046,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches,7,3,42.9,0.60,0.26,0.00,0.00,19.6,0,0.04,-0.3,-0.3,353,517,68.3,6580,3092,145,184,78.8,165,225,73.3,36,87,41.4,-0.2,3,34,1,0,38,421,96,0,73,9,11,0,0,0,0,258,103,156,309,60,41,87,1,1,9,28,18,6,0.52,5,0,0,0,0,1,0.09,1,0,0,0,0,0,29,20,19,8,2,16,51.6,15,63,35.0,105,62,13,0,12,55,53,1,668,69,17,50.0,9,2,332,5,8,15,319,291,91.2,7,62,34.2,81,9,5,15,9,1.00,12,18,-6,-0.52,+0.38,9.3,21.4,-12.1,-1.04,-0.06,0,14,0,1,0,130,31,27,53.4,Bundesliga,20,2021-2022
Fredrik AndrÃ© BjÃ¸rkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,131,164,79.9,1981,918,77,87,88.5,45,56,80.4,7,13,53.8,-0.1,2,4,4,2,9,130,34,0,25,0,4,0,0,0,0,98,36,30,89,37,6,32,0,0,0,6,8,7,1.78,5,1,0,1,0,0,0.00,0,0,0,0,0,0,11,7,8,2,1,5,62.5,3,16,24.2,35,20,11,0,7,17,7,1,211,12,2,42.9,3,0,120,1,5,8,120,108,90.0,8,39,11.5,90,2,7,25,1,0.56,4,16,-12,-3.06,-2.33,5.0,10.3,-5.3,-1.36,-0.83,0,3,0,0,0,36,1,7,12.5,Bundesliga,20,2021-2022
Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,1817,20.2,4,2,4,0,0,5,1,0.20,0.10,0.30,0.20,0.30,3.2,3.2,0.9,4.1,0.16,0.05,0.20,0.16,0.20,Matches,30,7,23.3,1.49,0.35,0.13,0.57,17.5,1,0.11,+0.8,+0.8,832,1011,82.3,14784,4195,380,425,89.4,337,397,84.9,93,149,62.4,+1.1,10,87,9,0,89,990,21,4,131,10,5,0,0,0,0,721,126,164,191,715,64,3,9,5,20,25,22,31,1.54,21,0,2,3,1,5,0.25,2,0,0,3,0,0,42,33,23,18,1,12,41.4,17,121,33.9,133,181,43,0,25,88,49,2,1226,76,31,76.9,10,1,704,1,8,5,824,761,92.4,24,70,59.4,81,14,5,22,1,1.92,48,31,+17,+0.84,-0.32,35.4,25.1,+10.3,+0.51,-0.21,0,42,0,0,0,228,42,22,65.6,Bundesliga,20,2021-2022
AngeliÃ±o,es ESP,DF,RB Leipzig,24,1997,29,26,2298,25.5,2,5,2,0,0,3,0,0.08,0.20,0.27,0.08,0.27,1.4,1.4,5.9,7.3,0.06,0.23,0.29,0.06,0.29,Matches,15,7,46.7,0.59,0.27,0.13,0.29,16.4,0,0.10,+0.6,+0.6,1094,1508,72.5,20135,7818,518,576,89.9,393,513,76.6,153,359,42.6,-0.9,51,75,57,32,109,1201,307,2,184,66,128,53,25,9,1,769,248,491,1147,99,43,206,1,9,28,41,40,81,3.17,51,23,2,1,1,10,0.39,6,4,0,0,0,0,35,18,16,16,3,16,51.6,15,94,35.7,103,97,63,0,42,70,50,0,1745,54,71,61.9,13,1,990,9,25,21,1197,1048,87.6,91,79,75.1,86,21,3,20,2,1.66,48,31,+17,+0.67,-1.46,45.5,32.8,+12.7,+0.50,-0.55,0,17,0,0,0,202,21,23,47.7,Bundesliga,20,2021-2022
Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,29,2595,28.8,2,1,2,0,0,6,1,0.07,0.03,0.10,0.07,0.10,1.7,1.7,1.5,3.2,0.06,0.05,0.11,0.06,0.11,Matches,23,6,26.1,0.80,0.21,0.09,0.33,13.8,0,0.07,+0.3,+0.3,1541,1801,85.6,33911,11215,436,471,92.6,824,896,92.0,265,400,66.3,-0.5,10,92,11,2,86,1716,85,2,184,50,12,0,0,0,0,1350,160,291,288,1361,71,34,5,2,34,25,22,30,1.04,25,1,0,1,3,2,0.07,2,0,0,0,0,0,47,33,27,18,2,21,50.0,21,128,38.9,167,139,23,1,33,113,159,1,2162,365,33,65.2,17,3,1367,0,10,12,1440,1415,98.3,9,89,84.8,89,27,0,,0,1.07,35,48,-13,-0.45,+0.52,40.8,42.1,-1.3,-0.04,+0.92,0,31,0,0,0,290,88,64,57.9,Bundesliga,20,2021-2022
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,12,1130,12.6,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,2.5,2.5,0.9,3.4,0.20,0.07,0.27,0.20,0.27,Matches,29,10,34.5,2.31,0.80,0.03,0.10,14.9,0,0.09,-1.5,-1.5,164,262,62.6,2616,816,90,121,74.4,60,90,66.7,11,30,36.7,+0.1,8,10,11,4,17,234,28,1,59,4,28,1,0,0,0,151,52,59,45,164,16,27,1,1,7,18,20,23,1.83,12,2,0,5,1,2,0.16,1,0,0,0,1,0,27,19,9,12,6,8,38.1,13,77,30.0,46,108,103,0,17,34,8,0,480,4,59,33.3,11,2,305,10,48,31,533,301,56.5,77,45,36.9,77,3,13,16,4,1.04,13,19,-6,-0.48,-0.10,16.3,22.9,-6.7,-0.53,-0.10,0,16,1,0,0,70,15,56,21.1,Bundesliga,20,2021-2022
Charles ArÃ¡nguiz,cl CHI,MF,Leverkusen,32,1989,26,16,1578,17.5,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.6,1.6,1.7,3.3,0.09,0.09,0.19,0.09,0.19,Matches,11,3,27.3,0.63,0.17,0.09,0.33,19.0,0,0.15,-0.6,-0.6,911,1087,83.8,17479,5054,346,393,88.0,410,460,89.1,128,185,69.2,+2.3,16,86,11,2,88,1041,46,1,151,31,8,0,0,0,0,765,134,188,124,892,47,6,7,6,9,29,27,33,1.88,30,1,1,0,1,6,0.34,5,0,1,0,0,0,51,33,23,21,7,16,25.8,46,138,31.2,163,234,46,0,31,93,19,0,1265,34,19,78.6,11,1,802,0,14,11,915,856,93.6,20,61,51.6,84,10,10,23,0,2.12,46,22,+24,+1.37,+0.82,34.2,20.3,+13.9,+0.79,+0.42,0,30,0,0,0,196,13,26,33.3,Bundesliga,20,2021-2022
Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,34,2994,33.3,4,2,4,0,0,4,0,0.12,0.06,0.18,0.12,0.18,1.5,1.5,4.7,6.3,0.05,0.14,0.19,0.05,0.19,Matches,40,14,35.0,1.20,0.42,0.10,0.29,31.7,13,0.04,+2.5,+2.5,1445,1848,78.2,33220,10595,419,480,87.3,640,709,90.3,360,607,59.3,-2.7,60,147,33,5,153,1591,257,3,262,120,46,102,62,35,0,1128,159,561,1371,384,53,6,10,11,39,46,28,95,2.86,48,44,0,3,0,5,0.15,3,1,0,0,1,0,50,34,27,19,4,14,29.8,33,189,33.6,216,288,58,1,31,118,45,0,2142,112,5,62.5,5,0,1270,0,16,27,1358,1284,94.6,21,88,97.8,88,31,0,,0,1.24,43,53,-10,-0.30,+1.06,47.8,49.3,-1.4,-0.04,-0.66,0,57,0,1,0,356,33,26,55.9,Bundesliga,20,2021-2022
Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,20,1608,17.9,3,4,3,0,0,1,0,0.17,0.22,0.39,0.17,0.39,3.5,3.5,2.4,5.9,0.20,0.13,0.33,0.20,0.33,Matches,32,11,34.4,1.79,0.62,0.09,0.27,17.0,0,0.11,-0.5,-0.5,263,378,69.6,3900,1239,131,172,76.2,102,135,75.6,14,30,46.7,+1.6,18,21,13,6,34,371,7,2,89,9,25,0,0,0,0,253,63,62,112,229,14,4,5,1,9,15,26,43,2.41,31,0,3,4,2,5,0.28,4,0,0,0,1,0,16,11,5,8,3,7,29.2,17,104,27.9,69,154,150,0,18,33,10,0,610,9,60,48.8,25,1,444,20,55,37,708,418,59.0,107,60,52.5,72,3,7,23,1,1.52,21,25,-4,-0.22,+0.40,18.9,31.0,-12.1,-0.68,-0.44,0,16,0,0,0,104,20,53,27.4,Bundesliga,20,2021-2022
Santiago AscacÃ­bar,ar ARG,MF,Hertha BSC,24,1997,28,27,2375,26.4,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,1.2,1.2,0.3,1.5,0.04,0.01,0.06,0.04,0.06,Matches,13,1,7.7,0.49,0.04,0.00,0.00,17.1,0,0.09,-1.2,-1.2,978,1182,82.7,16726,4647,476,561,84.8,382,434,88.0,95,131,72.5,+0.7,10,69,6,0,75,1119,63,0,194,23,3,0,0,0,0,843,166,173,221,832,88,7,5,5,21,37,30,30,1.14,26,0,1,1,1,1,0.04,1,0,0,0,0,0,96,61,53,36,7,35,39.3,54,200,32.3,261,299,60,0,42,150,38,1,1471,88,19,53.3,9,1,676,4,13,16,888,805,90.7,25,85,77.6,87,20,1,33,6,0.96,29,52,-23,-0.87,+0.57,24.8,40.7,-15.9,-0.60,+0.10,0,45,0,0,0,312,37,48,43.5,Bundesliga,20,2021-2022
Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,6,8,75.0,89,13,4,4,100.0,1,1,100.0,1,2,50.0,0.0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,6,2,0,1,7,0,0,0,0,0,0,1,1,10.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,60.0,0,3,2,0,0,0,0,0,9,0,0,0.0,0,0,6,0,0,0,10,9,90.0,2,5,0.3,,0,2,5,5,1.50,0,0,0,0.00,+0.06,0.3,0.1,+0.3,+2.93,+2.86,0,0,0,0,0,0,0,0,,Bundesliga,20,2021-2022
Simon Asta,de GER,DF,Greuther FÃ¼rth,20,2001,13,9,783,8.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches,3,0,0.0,0.34,0.00,0.00,,15.0,0,0.07,-0.2,-0.2,287,401,71.6,5377,2378,123,145,84.8,117,158,74.1,43,78,55.1,-0.1,2,15,5,2,22,308,93,0,41,4,16,0,0,0,0,210,80,111,16,272,19,90,0,1,12,20,18,8,0.92,5,3,0,0,0,1,0.11,0,1,0,0,0,0,14,8,7,4,3,6,50.0,6,48,31.6,61,53,38,0,15,40,9,0,486,32,11,33.3,4,1,251,5,7,6,269,233,86.6,17,60,25.6,83,6,4,10,13,0.31,9,22,-13,-1.49,+0.13,6.4,15.8,-9.5,-1.09,-0.29,0,13,0,0,1,81,6,9,40.0,Bundesliga,20,2021-2022
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,29,2174,24.2,15,1,13,2,2,1,0,0.62,0.04,0.66,0.54,0.58,14.0,12.4,2.1,14.5,0.58,0.09,0.66,0.51,0.60,Matches,66,30,45.5,2.73,1.24,0.20,0.43,12.9,0,0.19,+1.0,+0.6,334,484,69.0,5185,1358,177,230,77.0,118,167,70.7,22,39,56.4,-1.1,24,30,21,3,48,475,9,6,162,3,9,0,0,0,0,304,112,68,90,290,41,1,23,2,12,28,25,55,2.28,40,0,5,2,1,5,0.21,1,0,2,0,1,1,17,9,3,8,6,1,7.7,12,121,33.1,32,162,172,0,13,23,23,0,857,29,136,54.4,35,1,573,16,121,59,1167,637,54.6,188,70,71.0,73,1,2,26,0,1.61,33,31,+2,+0.08,-0.32,34.8,28.8,+5.9,+0.25,-0.05,0,29,1,0,1,109,58,145,28.6,Bundesliga,20,2021-2022
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,9,4,359,4.0,1,1,1,0,0,0,0,0.25,0.25,0.50,0.25,0.50,2.3,2.3,0.6,2.9,0.58,0.14,0.72,0.58,0.72,Matches,10,4,40.0,2.51,1.00,0.10,0.25,12.4,0,0.23,-1.3,-1.3,80,112,71.4,1264,347,43,53,81.1,29,42,69.0,7,8,87.5,+0.4,6,11,3,0,15,108,4,0,20,0,0,0,0,0,0,85,16,11,6,88,8,0,2,2,3,3,7,11,2.76,10,0,0,0,1,2,0.50,1,0,0,0,0,1,1,1,0,0,1,0,0.0,2,18,23.4,10,34,33,0,3,3,8,0,151,10,18,75.0,3,0,94,5,4,4,157,109,69.4,21,40,11.7,73,0,5,13,0,2.11,7,5,+2,+0.50,-0.53,7.5,4.2,+3.3,+0.82,+0.26,0,8,0,0,0,21,11,7,61.1,Bundesliga,20,2021-2022
Player,Nation,Pos,Squad,Ag,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Past,Succ,%,Def 3rd,Mid 3rd,Att 3rd,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Bundesliga,20,2021-2022
Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,25,19,1822,20.2,0,4,0,0,0,6,0,0.00,0.20,0.20,0.00,0.20,0.5,0.5,1.1,1.6,0.02,0.06,0.08,0.02,0.08,Matches,9,2,22.2,0.44,0.10,0.00,0.00,20.4,0,0.05,-0.5,-0.5,1011,1222,82.7,16674,6302,509,560,90.9,399,463,86.2,81,148,54.7,+2.9,11,64,21,11,75,1042,180,0,153,21,38,0,0,0,0,825,229,168,893,127,27,165,0,1,14,56,27,31,1.53,28,0,1,2,0,5,0.25,5,0,0,0,0,0,42,25,22,15,5,21,56.8,16,72,30.6,106,88,41,0,36,94,44,1,1465,74,28,55.1,30,3,924,6,24,21,1014,919,90.6,43,73,59.5,86,13,6,31,1,2.00,49,29,+20,+0.99,+0.04,39.0,29.0,+10.0,+0.50,-0.24,0,16,0,1,0,159,19,16,54.3,Bundesliga,20,2021-2022
Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,34,28,2446,27.2,3,5,3,0,0,4,0,0.11,0.18,0.29,0.11,0.29,2.2,2.2,4.8,7.0,0.08,0.18,0.26,0.08,0.26,Matches,37,8,21.6,1.36,0.29,0.08,0.38,20.0,0,0.06,+0.8,+0.8,1019,1328,76.7,19386,6843,420,498,84.3,453,565,80.2,136,224,60.7,+0.2,39,67,35,13,120,1109,219,2,171,38,68,5,1,0,0,779,277,272,179,888,44,194,3,4,21,51,46,73,2.69,57,3,6,4,0,7,0.26,5,0,0,1,1,0,63,34,30,24,9,22,36.1,39,152,29.8,168,207,135,0,66,103,50,1,1705,58,68,50.0,36,5,1058,16,35,39,1213,1014,83.6,113,72,79.9,83,18,6,21,0,1.24,40,40,0,0.00,+1.61,40.5,38.6,+1.9,+0.07,+0.50,0,34,0,0,0,222,30,38,44.1,Bundesliga,20,2021-2022
